city,country_code,time,precipitation_sum,wind_speed_10m_max,temperature_2m_max
sao paulo,BR,2017-08-30,0.0,13.1,29.1
sao paulo,BR,2017-08-31,0.0,21.0,18.1
sao paulo,BR,2017-09-01,0.0,23.7,21.6
sao paulo,BR,2017-09-02,0.0,19.3,23.2
sao paulo,BR,2017-09-03,0.0,14.7,24.5
sao paulo,BR,2017-09-04,0.0,10.7,27.0
sao paulo,BR,2017-09-05,0.0,12.1,27.1
sao paulo,BR,2017-09-06,0.0,21.4,26.1
sao paulo,BR,2017-09-07,0.0,16.0,26.6
sao paulo,BR,2017-09-08,0.0,17.1,28.4
sao paulo,BR,2017-09-09,0.0,14.5,28.5
sao paulo,BR,2017-09-10,0.0,16.6,29.1
sao paulo,BR,2017-09-11,0.0,17.5,30.6
sao paulo,BR,2017-09-12,0.0,20.4,30.0
sao paulo,BR,2017-09-13,0.0,17.6,30.6
sao paulo,BR,2017-09-14,0.0,17.5,32.2
sao paulo,BR,2017-09-15,0.0,17.1,31.8
sao paulo,BR,2017-09-16,0.0,15.1,30.4
sao paulo,BR,2017-09-17,0.0,19.8,31.1
sao paulo,BR,2017-09-18,0.2,19.2,27.8
sao paulo,BR,2017-09-19,0.0,18.7,27.5
sao paulo,BR,2017-09-20,0.0,18.0,26.3
sao paulo,BR,2017-09-21,0.0,14.8,28.6
sao paulo,BR,2017-09-22,0.0,13.8,29.5
sao paulo,BR,2017-09-23,0.2,25.0,29.9
sao paulo,BR,2017-09-24,0.5,22.3,23.0
sao paulo,BR,2017-09-25,0.0,21.8,25.5
sao paulo,BR,2017-09-26,0.0,24.9,26.8
sao paulo,BR,2017-09-27,0.1,22.7,28.8
sao paulo,BR,2017-09-28,0.7,22.3,26.5
sao paulo,BR,2017-09-29,8.3,22.7,21.9
sao paulo,BR,2017-09-30,22.0,25.7,21.7
sao paulo,BR,2017-10-01,0.3,26.9,23.9
sao paulo,BR,2017-10-02,5.0,19.8,23.1
sao paulo,BR,2017-10-03,2.2,18.4,21.6
sao paulo,BR,2017-10-04,0.0,18.9,22.9
sao paulo,BR,2017-10-05,0.1,13.8,29.8
sao paulo,BR,2017-10-06,1.5,21.7,31.3
sao paulo,BR,2017-10-07,9.4,15.6,20.6
sao paulo,BR,2017-10-08,4.7,17.4,25.2
sao paulo,BR,2017-10-09,2.7,12.6,27.2
sao paulo,BR,2017-10-10,2.4,16.9,31.4
sao paulo,BR,2017-10-11,0.3,14.8,32.1
sao paulo,BR,2017-10-12,1.6,13.4,32.5
sao paulo,BR,2017-10-13,0.2,14.5,33.1
sao paulo,BR,2017-10-14,1.9,22.1,29.2
sao paulo,BR,2017-10-15,0.2,25.6,19.9
sao paulo,BR,2017-10-16,0.0,21.9,22.8
sao paulo,BR,2017-10-17,0.0,18.7,26.8
sao paulo,BR,2017-10-18,0.0,13.1,31.2
sao paulo,BR,2017-10-19,0.0,20.3,32.1
sao paulo,BR,2017-10-20,2.7,22.0,27.0
sao paulo,BR,2017-10-21,1.1,13.1,28.3
sao paulo,BR,2017-10-22,12.6,19.0,22.8
sao paulo,BR,2017-10-23,1.6,21.1,17.7
sao paulo,BR,2017-10-24,0.4,19.0,20.9
sao paulo,BR,2017-10-25,0.5,21.7,25.6
sao paulo,BR,2017-10-26,1.4,18.7,28.3
sao paulo,BR,2017-10-27,7.3,26.7,25.1
sao paulo,BR,2017-10-28,0.4,29.3,25.7
sao paulo,BR,2017-10-29,3.4,17.8,24.7
sao paulo,BR,2017-10-30,5.1,13.4,22.6
sao paulo,BR,2017-10-31,2.4,27.8,22.1
sao paulo,BR,2017-11-01,0.3,23.0,19.7
sao paulo,BR,2017-11-02,0.0,24.0,23.3
sao paulo,BR,2017-11-03,0.0,12.2,28.5
sao paulo,BR,2017-11-04,4.3,30.6,27.0
sao paulo,BR,2017-11-05,2.7,16.3,21.7
sao paulo,BR,2017-11-06,0.6,22.2,18.2
sao paulo,BR,2017-11-07,0.0,21.7,21.4
sao paulo,BR,2017-11-08,0.0,20.4,23.8
sao paulo,BR,2017-11-09,18.5,12.3,25.8
sao paulo,BR,2017-11-10,9.2,14.0,28.1
sao paulo,BR,2017-11-11,6.1,20.5,21.4
sao paulo,BR,2017-11-12,0.0,21.0,26.0
sao paulo,BR,2017-11-13,0.0,20.4,24.3
sao paulo,BR,2017-11-14,0.0,22.1,25.7
sao paulo,BR,2017-11-15,0.0,16.4,29.5
sao paulo,BR,2017-11-16,0.8,18.0,28.2
sao paulo,BR,2017-11-17,2.4,13.5,27.3
sao paulo,BR,2017-11-18,14.2,20.2,27.4
sao paulo,BR,2017-11-19,10.1,21.6,24.9
sao paulo,BR,2017-11-20,2.5,19.6,21.9
sao paulo,BR,2017-11-21,4.2,12.7,26.5
sao paulo,BR,2017-11-22,2.1,25.2,22.7
sao paulo,BR,2017-11-23,0.6,22.1,20.7
sao paulo,BR,2017-11-24,0.2,17.2,26.2
sao paulo,BR,2017-11-25,0.1,17.6,29.0
sao paulo,BR,2017-11-26,10.5,26.9,25.3
sao paulo,BR,2017-11-27,12.9,27.4,25.4
sao paulo,BR,2017-11-28,0.4,24.5,23.4
sao paulo,BR,2017-11-29,0.1,21.0,23.2
sao paulo,BR,2017-11-30,0.3,20.9,23.3
sao paulo,BR,2017-12-01,14.0,19.1,23.1
sao paulo,BR,2017-12-02,0.9,21.1,22.9
sao paulo,BR,2017-12-03,0.7,20.4,25.7
sao paulo,BR,2017-12-04,0.1,17.7,28.1
sao paulo,BR,2017-12-05,0.8,21.7,26.7
sao paulo,BR,2017-12-06,1.1,19.0,25.8
sao paulo,BR,2017-12-07,9.8,12.7,26.0
sao paulo,BR,2017-12-08,9.0,20.6,26.3
sao paulo,BR,2017-12-09,2.2,16.1,23.7
sao paulo,BR,2017-12-10,0.6,13.2,26.8
sao paulo,BR,2017-12-11,6.0,26.1,28.2
sao paulo,BR,2017-12-12,0.9,22.5,19.8
sao paulo,BR,2017-12-13,0.0,19.3,22.6
sao paulo,BR,2017-12-14,0.0,15.5,28.0
sao paulo,BR,2017-12-15,0.0,19.1,29.2
sao paulo,BR,2017-12-16,0.0,14.2,28.5
sao paulo,BR,2017-12-17,3.4,15.5,29.7
sao paulo,BR,2017-12-18,4.2,20.3,27.0
sao paulo,BR,2017-12-19,2.3,16.8,26.5
sao paulo,BR,2017-12-20,4.1,11.3,28.7
sao paulo,BR,2017-12-21,10.0,12.6,21.1
sao paulo,BR,2017-12-22,6.2,18.8,23.6
sao paulo,BR,2017-12-23,0.0,25.5,27.1
sao paulo,BR,2017-12-24,0.1,23.9,27.2
sao paulo,BR,2017-12-25,7.8,18.0,27.1
sao paulo,BR,2017-12-26,9.7,15.3,26.5
sao paulo,BR,2017-12-27,9.3,19.2,26.4
sao paulo,BR,2017-12-28,10.6,13.4,22.7
sao paulo,BR,2017-12-29,13.6,14.1,24.0
sao paulo,BR,2017-12-30,22.4,28.2,24.0
sao paulo,BR,2017-12-31,13.4,32.7,23.7
sao paulo,BR,2018-01-01,1.6,20.2,25.7
sao paulo,BR,2018-01-02,1.1,28.8,25.2
sao paulo,BR,2018-01-03,3.4,24.5,23.8
sao paulo,BR,2018-01-04,0.0,20.6,26.3
sao paulo,BR,2018-01-05,3.0,17.7,25.9
sao paulo,BR,2018-01-06,9.4,16.6,24.5
sao paulo,BR,2018-01-07,12.0,15.8,19.8
sao paulo,BR,2018-01-08,25.5,16.6,20.8
sao paulo,BR,2018-01-09,11.7,14.2,23.6
sao paulo,BR,2018-01-10,0.6,16.1,27.5
sao paulo,BR,2018-01-11,5.3,18.0,27.3
sao paulo,BR,2018-01-12,1.3,22.8,24.6
sao paulo,BR,2018-01-13,2.3,18.1,24.4
sao paulo,BR,2018-01-14,11.2,16.7,27.7
sao paulo,BR,2018-01-15,7.2,21.0,26.7
sao paulo,BR,2018-01-16,12.3,17.7,26.3
sao paulo,BR,2018-01-17,6.0,10.1,28.6
sao paulo,BR,2018-01-18,7.5,19.2,28.7
sao paulo,BR,2018-01-19,8.6,18.6,28.8
