source_name,source_group,load_type,adf_pipeline_name,status,window_start,window_end,files_read,started_at,ended_at,duration_sec,error_message
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:37:28.7828642,2026-09-06T10:59:19.0134179,22.0,2026-09-06T10:59:19.0000000,2026-09-06T10:59:45.0000000,26,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:38:11.2094153,2026-09-06T10:59:55.2860245,22.0,2026-09-06T10:59:55.0000000,2026-09-06T11:00:49.0000000,54,
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:38:51.0061676,2026-09-06T11:01:25.4890488,94.0,2026-09-06T11:01:25.0000000,2026-09-06T11:02:08.0000000,43,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:50:42.0007613,2026-09-06T11:07:13.4056572,1.0,2026-09-06T11:07:13.0000000,2026-09-06T11:07:50.0000000,37,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:51:41.9593391,2026-09-06T11:08:10.4755098,1.0,2026-09-06T11:08:10.0000000,2026-09-06T11:08:36.0000000,26,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:52:21.3543029,2026-09-06T11:08:45.1647402,1.0,2026-09-06T11:08:45.0000000,2026-09-06T11:09:14.0000000,29,
olist_products,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:30:31.4671927,2026-09-06T11:09:28.1187734,1.0,2026-09-06T11:09:28.0000000,2026-09-06T11:09:58.0000000,30,
olist_sellers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:53:39.8176273,2026-09-06T11:10:21.2350605,1.0,2026-09-06T11:10:21.0000000,2026-09-06T11:10:54.0000000,33,
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:54:22.7578858,2026-09-06T11:11:18.8877972,1.0,2026-09-06T11:11:19.0000000,2026-09-06T11:11:49.0000000,30,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:55:00.3841770,2026-09-06T11:12:07.8996399,1.0,2026-09-06T11:12:08.0000000,2026-09-06T11:12:37.0000000,29,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:55:35.4146164,2026-09-06T11:12:52.9380809,1.0,2026-09-06T11:12:53.0000000,2026-09-06T11:13:21.0000000,28,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T10:56:26.1690112,2026-09-06T11:13:40.8352016,1.0,2026-09-06T11:13:41.0000000,2026-09-06T11:14:08.0000000,27,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T10:57:10.2463963,2026-09-06T11:14:17.6435154,22.0,2026-09-06T11:14:18.0000000,2026-09-06T11:14:51.0000000,33,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T10:57:56.7505785,2026-09-06T11:15:33.0258757,22.0,2026-09-06T11:15:33.0000000,2026-09-06T11:16:06.0000000,33,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:58:31.6732404,2026-09-06T11:16:31.8196974,22.0,2026-09-06T11:16:32.0000000,2026-09-06T11:17:01.0000000,29,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:59:19.0134179,2026-09-06T11:17:21.9793490,22.0,2026-09-06T11:17:22.0000000,2026-09-06T11:17:49.0000000,27,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T10:59:55.2860245,2026-09-06T11:18:01.7210772,22.0,2026-09-06T11:18:02.0000000,2026-09-06T11:18:27.0000000,25,
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T11:01:25.4890488,2026-09-06T11:18:38.1072136,94.0,2026-09-06T11:18:38.0000000,2026-09-06T11:19:09.0000000,31,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:07:13.4056572,2026-09-06T20:17:22.8712660,1.0,2026-09-06T20:17:23.0000000,2026-09-06T20:18:00.0000000,37,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:08:10.4755098,2026-09-06T20:18:16.3460505,1.0,2026-09-06T20:18:16.0000000,2026-09-06T20:18:42.0000000,26,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:08:45.1647402,2026-09-06T20:19:21.2451650,1.0,2026-09-06T20:19:21.0000000,2026-09-06T20:19:50.0000000,29,
olist_products,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:09:28.1187734,2026-09-06T20:20:17.9301651,1.0,2026-09-06T20:20:18.0000000,2026-09-06T20:20:47.0000000,29,
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:11:18.8877972,2026-09-06T20:21:34.5349741,1.0,2026-09-06T20:21:35.0000000,2026-09-06T20:22:02.0000000,27,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:12:07.8996399,2026-09-06T20:22:20.8092075,1.0,2026-09-06T20:22:21.0000000,2026-09-06T20:22:44.0000000,23,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:12:52.9380809,2026-09-06T20:22:57.8485962,1.0,2026-09-06T20:22:58.0000000,2026-09-06T20:23:27.0000000,29,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:13:40.8352016,2026-09-06T20:23:44.8523525,1.0,2026-09-06T20:23:45.0000000,2026-09-06T20:24:09.0000000,24,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T11:14:17.6435154,2026-09-06T20:24:21.7961736,22.0,2026-09-06T20:24:22.0000000,2026-09-06T20:24:46.0000000,24,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T11:15:33.0258757,2026-09-06T20:25:16.1466772,22.0,2026-09-06T20:25:16.0000000,2026-09-06T20:25:46.0000000,30,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T11:16:31.8196974,2026-09-06T20:26:14.3510726,22.0,2026-09-06T20:26:14.0000000,2026-09-06T20:26:41.0000000,27,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T11:17:21.9793490,2026-09-06T20:27:12.4510489,22.0,2026-09-06T20:27:12.0000000,2026-09-06T20:27:39.0000000,27,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T11:18:01.7210772,2026-09-06T20:27:57.8712298,22.0,2026-09-06T20:27:58.0000000,2026-09-06T20:28:26.0000000,28,
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T11:18:38.1072136,2026-09-06T20:28:43.6305194,94.0,2026-09-06T20:28:44.0000000,2026-09-06T20:29:09.0000000,25,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:17:22.8712660,2026-09-06T20:30:36.9073878,1.0,2026-09-06T20:30:37.0000000,2026-09-06T20:31:13.0000000,36,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:18:16.3460505,2026-09-06T20:31:26.1674906,1.0,2026-09-06T20:31:26.0000000,2026-09-06T20:31:50.0000000,24,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:19:21.2451650,2026-09-06T20:32:02.8330983,1.0,2026-09-06T20:32:03.0000000,2026-09-06T20:32:31.0000000,28,
olist_products,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:20:17.9301651,2026-09-06T20:32:41.6376017,1.0,2026-09-06T20:32:42.0000000,2026-09-06T20:33:06.0000000,24,
olist_sellers,olist,FULL,pl_ingest_files,FAILED,2026-09-06T11:10:21.2350605,2026-09-06T20:33:19.8592211,,2026-09-06T20:33:20.0000000,2026-09-06T20:33:45.0000000,25,"Quality gate failed: expected at least 999 files, got 1"
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:21:34.5349741,2026-09-06T20:34:05.0117337,1.0,2026-09-06T20:34:05.0000000,2026-09-06T20:34:32.0000000,27,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:22:20.8092075,2026-09-06T20:34:52.0358983,1.0,2026-09-06T20:34:52.0000000,2026-09-06T20:35:18.0000000,26,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:22:57.8485962,2026-09-06T20:35:42.8200434,1.0,2026-09-06T20:35:43.0000000,2026-09-06T20:36:09.0000000,26,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:23:44.8523525,2026-09-06T20:36:26.1696398,1.0,2026-09-06T20:36:26.0000000,2026-09-06T20:36:52.0000000,26,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T20:24:21.7961736,2026-09-06T20:37:06.1341096,22.0,2026-09-06T20:37:06.0000000,2026-09-06T20:37:33.0000000,27,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T20:25:16.1466772,2026-09-06T20:38:00.2724125,22.0,2026-09-06T20:38:00.0000000,2026-09-06T20:38:31.0000000,31,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:26:14.3510726,2026-09-06T20:38:43.2312919,22.0,2026-09-06T20:38:43.0000000,2026-09-06T20:39:10.0000000,27,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:27:12.4510489,2026-09-06T20:39:23.8910704,22.0,2026-09-06T20:39:24.0000000,2026-09-06T20:39:56.0000000,32,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:27:57.8712298,2026-09-06T20:40:26.2906996,22.0,2026-09-06T20:40:26.0000000,2026-09-06T20:40:57.0000000,31,
